Date,Location,Crime_Incidents
2023-07-13,Central,18
2023-02-03,Central,27
2023-01-16,Central,11
2023-11-06,Central,26
2023-02-27,Central,21
2023-07-03,Central,26
2023-03-18,Central,16
2023-04-30,Central,28
2023-06-02,Central,14
2023-05-07,Central,22
2023-12-05,Central,15
2023-02-09,Central,29
2023-11-01,Central,27
2023-02-25,Central,13
2023-05-18,Central,21
2023-10-28,Central,19
2023-01-01,Central,16
2023-10-03,Central,11
2023-11-26,Central,21
2023-04-12,Central,21
2023-01-10,Central,13
2023-06-15,Central,11
2023-03-14,Central,18
2023-09-11,Central,18
2023-09-06,Central,23
2023-07-15,Central,25
2023-08-09,Central,26
2023-10-20,Central,26
2023-12-16,Central,15
2023-12-28,Central,26
2023-01-26,Central,21
2023-04-19,Central,23
2023-02-12,Central,21
2023-12-19,Central,24
2023-07-16,Central,12
2023-04-25,Central,18
2023-03-05,Central,24
2023-01-23,Central,24
2023-12-09,Central,10
2023-11-28,Central,24
2023-08-31,Central,17
2023-12-12,Central,21
2023-01-31,Central,16
2023-10-25,Central,10
2023-04-20,Central,12
2023-08-23,Central,29
2023-04-01,Central,16
2023-02-26,Central,27
2023-01-06,Central,16
2023-02-15,Central,12
2023-08-22,Central,12
2023-12-13,Central,14
2023-10-11,Central,12
2023-09-20,Central,16
2023-06-26,Central,10
2023-12-04,Central,19
2023-04-04,Central,18
2023-01-04,Central,20
2023-12-26,Central,19
2023-03-19,Central,18
2023-08-26,Central,20
2023-12-14,Central,16
2023-03-20,Central,10
2023-02-16,Central,23
2023-09-23,Central,10
2023-03-15,Central,24
2023-08-13,Central,21
2023-05-05,Central,14
2023-07-23,Central,16
2023-03-24,Central,28
2023-04-05,Central,17
2023-07-12,Central,10
2023-11-22,Central,17
2023-07-31,Central,10
2023-12-07,Central,20
2023-07-22,Central,29
2023-03-17,Central,10
2023-03-26,Central,17
2023-12-20,Central,12
2023-01-17,Central,10
2023-03-08,Central,17
2023-09-29,Central,15
2023-01-08,Central,20
2023-04-24,Central,16
2023-04-27,Central,24
2023-11-20,Central,29
2023-11-15,Central,27
2023-09-13,Central,10
2023-10-29,Central,12
2023-04-21,Central,10
2023-11-18,Central,13
2023-03-02,Central,13
2023-06-05,Central,19
2023-09-19,Central,17
2023-05-13,Central,28
2023-08-11,Central,10
2023-05-21,Central,20
2023-01-18,Central,21
2023-05-29,Central,16
2023-01-25,Central,28
2023-07-13,East,13
2023-02-03,East,13
2023-01-16,East,28
2023-11-06,East,19
2023-02-27,East,10
2023-07-03,East,10
2023-03-18,East,16
2023-04-30,East,14
2023-06-02,East,15
2023-05-07,East,22
2023-12-05,East,12
2023-02-09,East,14
2023-11-01,East,11
2023-02-25,East,21
2023-05-18,East,18
2023-10-28,East,11
2023-01-01,East,21
2023-10-03,East,17
2023-11-26,East,24
2023-04-12,East,26
2023-01-10,East,25
2023-06-15,East,28
2023-03-14,East,19
2023-09-11,East,15
2023-09-06,East,11
2023-07-15,East,28
2023-08-09,East,26
2023-10-20,East,11
2023-12-16,East,21
2023-12-28,East,13
2023-01-26,East,25
2023-04-19,East,21
2023-02-12,East,25
2023-12-19,East,26
2023-07-16,East,29
2023-04-25,East,23
2023-03-05,East,22
2023-01-23,East,29
2023-12-09,East,14
2023-11-28,East,20
2023-08-31,East,24
2023-12-12,East,15
2023-01-31,East,14
2023-10-25,East,11
2023-04-20,East,18
2023-08-23,East,11
2023-04-01,East,13
2023-02-26,East,12
2023-01-06,East,25
2023-02-15,East,26
2023-08-22,East,24
2023-12-13,East,10
2023-10-11,East,10
2023-09-20,East,19
2023-06-26,East,17
2023-12-04,East,12
2023-04-04,East,16
2023-01-04,East,24
2023-12-26,East,25
2023-03-19,East,13
2023-08-26,East,22
2023-12-14,East,14
2023-03-20,East,27
2023-02-16,East,29
2023-09-23,East,23
2023-03-15,East,11
2023-08-13,East,22
2023-05-05,East,25
2023-07-23,East,10
2023-03-24,East,13
2023-04-05,East,14
2023-07-12,East,14
2023-11-22,East,20
2023-07-31,East,15
2023-12-07,East,28
2023-07-22,East,24
2023-03-17,East,18
2023-03-26,East,14
2023-12-20,East,23
2023-01-17,East,14
2023-03-08,East,11
2023-09-29,East,22
2023-01-08,East,22
2023-04-24,East,16
2023-04-27,East,28
2023-11-20,East,22
2023-11-15,East,29
2023-09-13,East,14
2023-10-29,East,27
2023-04-21,East,28
2023-11-18,East,15
2023-03-02,East,19
2023-06-05,East,25
2023-09-19,East,19
2023-05-13,East,20
2023-08-11,East,10
2023-05-21,East,26
2023-01-18,East,23
2023-05-29,East,27
2023-01-25,East,21
2023-07-13,North,26
2023-02-03,North,14
2023-01-16,North,19
2023-11-06,North,14
2023-02-27,North,11
2023-07-03,North,26
2023-03-18,North,24
2023-04-30,North,26
2023-06-02,North,12
2023-05-07,North,24
2023-12-05,North,19
2023-02-09,North,18
2023-11-01,North,22
2023-02-25,North,26
2023-05-18,North,16
2023-10-28,North,25
2023-01-01,North,19
2023-10-03,North,25
2023-11-26,North,26
2023-04-12,North,21
2023-01-10,North,11
2023-06-15,North,22
2023-03-14,North,24
2023-09-11,North,13
2023-09-06,North,12
2023-07-15,North,22
2023-08-09,North,29
2023-10-20,North,22
2023-12-16,North,21
2023-12-28,North,21
2023-01-26,North,22
2023-04-19,North,14
2023-02-12,North,26
2023-12-19,North,10
2023-07-16,North,23
2023-04-25,North,24
2023-03-05,North,20
2023-01-23,North,18
2023-12-09,North,14
2023-11-28,North,11
2023-08-31,North,19
2023-12-12,North,13
2023-01-31,North,13
2023-10-25,North,25
2023-04-20,North,21
2023-08-23,North,14
2023-04-01,North,17
2023-02-26,North,23
2023-01-06,North,14
2023-02-15,North,21
2023-08-22,North,15
2023-12-13,North,27
2023-10-11,North,26
2023-09-20,North,11
2023-06-26,North,22
2023-12-04,North,16
2023-04-04,North,20
2023-01-04,North,21
2023-12-26,North,12
2023-03-19,North,29
2023-08-26,North,26
2023-12-14,North,13
2023-03-20,North,28
2023-02-16,North,19
2023-09-23,North,18
2023-03-15,North,14
2023-08-13,North,28
2023-05-05,North,27
2023-07-23,North,23
2023-03-24,North,26
2023-04-05,North,17
2023-07-12,North,10
2023-11-22,North,22
2023-07-31,North,14
2023-12-07,North,11
2023-07-22,North,10
2023-03-17,North,13
2023-03-26,North,20
2023-12-20,North,27
2023-01-17,North,23
2023-03-08,North,13
2023-09-29,North,24
2023-01-08,North,15
2023-04-24,North,26
2023-04-27,North,25
2023-11-20,North,16
2023-11-15,North,13
2023-09-13,North,14
2023-10-29,North,18
2023-04-21,North,26
2023-11-18,North,22
2023-03-02,North,28
