Date,Location,Crime_Incidents
2024-01-01,Manhattan,45
2024-01-01,Brooklyn,38
2024-01-01,Queens,29
2024-01-01,Bronx,31
2024-01-01,Staten Island,12
2024-01-02,Manhattan,42
2024-01-02,Brooklyn,35
2024-01-02,Queens,27
2024-01-02,Bronx,33
2024-01-02,Staten Island,10
2024-01-03,Manhattan,48
2024-01-03,Brooklyn,41
2024-01-03,Queens,32
2024-01-03,Bronx,29
2024-01-03,Staten Island,11
2024-01-04,Manhattan,51
2024-01-04,Brooklyn,39
2024-01-04,Queens,30
2024-01-04,Bronx,34
2024-01-04,Staten Island,13
2024-01-05,Manhattan,53
2024-01-05,Brooklyn,44
2024-01-05,Queens,33
2024-01-05,Bronx,36
2024-01-05,Staten Island,14
2024-01-06,Manhattan,49
2024-01-06,Brooklyn,42
2024-01-06,Queens,31
2024-01-06,Bronx,32
2024-01-06,Staten Island,12
2024-01-07,Manhattan,44
2024-01-07,Brooklyn,37
2024-01-07,Queens,28
2024-01-07,Bronx,30
2024-01-07,Staten Island,11
2024-01-08,Manhattan,46
2024-01-08,Brooklyn,40
2024-01-08,Queens,30
2024-01-08,Bronx,33
2024-01-08,Staten Island,13
2024-01-09,Manhattan,50
2024-01-09,Brooklyn,43
2024-01-09,Queens,32
2024-01-09,Bronx,35
2024-01-09,Staten Island,12
2024-01-10,Manhattan,47
2024-01-10,Brooklyn,39
2024-01-10,Queens,29
2024-01-10,Bronx,31
2024-01-10,Staten Island,10
2024-01-11,Manhattan,52
2024-01-11,Brooklyn,45
2024-01-11,Queens,34
2024-01-11,Bronx,37
2024-01-11,Staten Island,14
2024-01-12,Manhattan,48
2024-01-12,Brooklyn,41
2024-01-12,Queens,31
2024-01-12,Bronx,33
2024-01-12,Staten Island,12
2024-01-13,Manhattan,45
2024-01-13,Brooklyn,38
2024-01-13,Queens,28
2024-01-13,Bronx,30
2024-01-13,Staten Island,11
2024-01-14,Manhattan,43
2024-01-14,Brooklyn,36
2024-01-14,Queens,27
2024-01-14,Bronx,29
2024-01-14,Staten Island,10
2024-01-15,Manhattan,49
2024-01-15,Brooklyn,42
2024-01-15,Queens,32
2024-01-15,Bronx,34
2024-01-15,Staten Island,13
2024-01-16,Manhattan,51
2024-01-16,Brooklyn,44
2024-01-16,Queens,33
2024-01-16,Bronx,36
2024-01-16,Staten Island,12
2024-01-17,Manhattan,46
2024-01-17,Brooklyn,39
2024-01-17,Queens,29
2024-01-17,Bronx,31
2024-01-17,Staten Island,11
2024-01-18,Manhattan,50
2024-01-18,Brooklyn,43
2024-01-18,Queens,32
2024-01-18,Bronx,35
2024-01-18,Staten Island,13
2024-01-19,Manhattan,47
2024-01-19,Brooklyn,40
2024-01-19,Queens,30
2024-01-19,Bronx,32
2024-01-19,Staten Island,12
2024-01-20,Manhattan,52
2024-01-20,Brooklyn,45
2024-01-20,Queens,34
2024-01-20,Bronx,37
2024-01-20,Staten Island,14
2024-01-21,Manhattan,48
2024-01-21,Brooklyn,41
2024-01-21,Queens,31
2024-01-21,Bronx,33
2024-01-21,Staten Island,11
2024-01-22,Manhattan,45
2024-01-22,Brooklyn,38
2024-01-22,Queens,28
2024-01-22,Bronx,30
2024-01-22,Staten Island,10
2024-01-23,Manhattan,49
2024-01-23,Brooklyn,42
2024-01-23,Queens,32
2024-01-23,Bronx,34
2024-01-23,Staten Island,12
2024-01-24,Manhattan,51
2024-01-24,Brooklyn,44
2024-01-24,Queens,33
2024-01-24,Bronx,36
2024-01-24,Staten Island,13
2024-01-25,Manhattan,46
2024-01-25,Brooklyn,39
2024-01-25,Queens,29
2024-01-25,Bronx,31
2024-01-25,Staten Island,11
2024-01-26,Manhattan,50
2024-01-26,Brooklyn,43
2024-01-26,Queens,32
2024-01-26,Bronx,35
2024-01-26,Staten Island,12
2024-01-27,Manhattan,47
2024-01-27,Brooklyn,40
2024-01-27,Queens,30
2024-01-27,Bronx,32
2024-01-27,Staten Island,10
2024-01-28,Manhattan,52
2024-01-28,Brooklyn,45
2024-01-28,Queens,34
2024-01-28,Bronx,37
2024-01-28,Staten Island,14
2024-01-29,Manhattan,48
2024-01-29,Brooklyn,41
2024-01-29,Queens,31
2024-01-29,Bronx,33
2024-01-29,Staten Island,12
2024-01-30,Manhattan,45
2024-01-30,Brooklyn,38
2024-01-30,Queens,28
2024-01-30,Bronx,30
2024-01-30,Staten Island,11
2024-01-31,Manhattan,49
2024-01-31,Brooklyn,42
2024-01-31,Queens,32
2024-01-31,Bronx,34
2024-01-31,Staten Island,13
2024-02-01,Manhattan,51
2024-02-01,Brooklyn,44
2024-02-01,Queens,33
2024-02-01,Bronx,36
2024-02-01,Staten Island,12
2024-02-02,Manhattan,46
2024-02-02,Brooklyn,39
2024-02-02,Queens,29
2024-02-02,Bronx,31
2024-02-02,Staten Island,10
2024-02-03,Manhattan,50
2024-02-03,Brooklyn,43
2024-02-03,Queens,32
2024-02-03,Bronx,35
2024-02-03,Staten Island,14
2024-02-04,Manhattan,47
2024-02-04,Brooklyn,40
2024-02-04,Queens,30
2024-02-04,Bronx,32
2024-02-04,Staten Island,11
2024-02-05,Manhattan,52
2024-02-05,Brooklyn,45
2024-02-05,Queens,34
2024-02-05,Bronx,37
2024-02-05,Staten Island,13
2024-02-06,Manhattan,48
2024-02-06,Brooklyn,41
2024-02-06,Queens,31
2024-02-06,Bronx,33
2024-02-06,Staten Island,12
2024-02-07,Manhattan,45
2024-02-07,Brooklyn,38
2024-02-07,Queens,28
2024-02-07,Bronx,30
2024-02-07,Staten Island,10
2024-02-08,Manhattan,49
2024-02-08,Brooklyn,42
2024-02-08,Queens,32
2024-02-08,Bronx,34
2024-02-08,Staten Island,11
2024-02-09,Manhattan,51
2024-02-09,Brooklyn,44
2024-02-09,Queens,33
2024-02-09,Bronx,36
2024-02-09,Staten Island,13
2024-02-10,Manhattan,46
2024-02-10,Brooklyn,39
2024-02-10,Queens,29
2024-02-10,Bronx,31
2024-02-10,Staten Island,12
2024-02-11,Manhattan,50
2024-02-11,Brooklyn,43
2024-02-11,Queens,32
2024-02-11,Bronx,35
2024-02-11,Staten Island,14
2024-02-12,Manhattan,47
2024-02-12,Brooklyn,40
2024-02-12,Queens,30
2024-02-12,Bronx,32
2024-02-12,Staten Island,11
2024-02-13,Manhattan,52
2024-02-13,Brooklyn,45
2024-02-13,Queens,34
2024-02-13,Bronx,37
2024-02-13,Staten Island,13
2024-02-14,Manhattan,48
2024-02-14,Brooklyn,41
2024-02-14,Queens,31
2024-02-14,Bronx,33
2024-02-14,Staten Island,12
2024-02-15,Manhattan,45
2024-02-15,Brooklyn,38
2024-02-15,Queens,28
2024-02-15,Bronx,30
2024-02-15,Staten Island,10
2024-02-16,Manhattan,49
2024-02-16,Brooklyn,42
2024-02-16,Queens,32
2024-02-16,Bronx,34
2024-02-16,Staten Island,11
2024-02-17,Manhattan,51
2024-02-17,Brooklyn,44
2024-02-17,Queens,33
2024-02-17,Bronx,36
2024-02-17,Staten Island,13
2024-02-18,Manhattan,46
2024-02-18,Brooklyn,39
2024-02-18,Queens,29
2024-02-18,Bronx,31
2024-02-18,Staten Island,12
2024-02-19,Manhattan,50
2024-02-19,Brooklyn,43
2024-02-19,Queens,32
2024-02-19,Bronx,35
2024-02-19,Staten Island,14
2024-02-20,Manhattan,47
2024-02-20,Brooklyn,40
2024-02-20,Queens,30
2024-02-20,Bronx,32
