Gender,Age,Weight,Height,BMI,Physical Activity Level,Dietary Habit,Strict Diet
Male,25,75,175,24.5,Moderately Active,Moderate,No
Female,30,65,160,25.4,Sedentary,Unhealthy,Yes
Male,45,90,170,31.1,Lightly Active,Unhealthy,Yes
Female,28,55,165,20.2,Moderately Active,Healthy,No
Male,35,82,180,25.3,Lightly Active,Moderate,No
Female,50,85,158,34.1,Sedentary,Unhealthy,Yes
Male,60,88,172,29.8,Sedentary,Unhealthy,Yes
Female,40,70,162,26.7,Lightly Active,Healthy,No
Male,33,92,178,29.0,Moderately Active,Moderate,No
Female,22,55,155,22.9,Very Active,Healthy,No
Male,47,100,169,35.0,Sedentary,Unhealthy,Yes
Female,53,95,160,37.1,Lightly Active,Moderate,Yes
Male,29,68,175,22.2,Moderately Active,Healthy,No
Female,34,62,165,22.8,Very Active,Healthy,No
Male,38,76,172,25.7,Lightly Active,Moderate,No
Female,26,60,158,24.0,Moderately Active,Moderate,No
Male,32,85,180,26.2,Lightly Active,Unhealthy,Yes
Female,42,90,162,34.3,Sedentary,Unhealthy,Yes
Male,52,95,176,30.7,Sedentary,Unhealthy,Yes
Female,48,75,160,29.3,Moderately Active,Moderate,No
Male,41,85,174,28.1,Lightly Active,Moderate,No
Female,37,58,168,20.5,Very Active,Healthy,No
Male,44,78,177,24.9,Lightly Active,Healthy,No
Female,31,65,161,25.1,Moderately Active,Moderate,No
Male,56,100,170,34.6,Sedentary,Unhealthy,Yes
Female,46,80,164,29.8,Lightly Active,Moderate,No
Male,36,70,173,23.4,Moderately Active,Healthy,No
Female,27,59,157,23.9,Very Active,Healthy,No
Male,51,94,172,31.8,Sedentary,Unhealthy,Yes
Female,43,88,160,34.4,Lightly Active,Moderate,Yes
Male,28,77,179,24.0,Moderately Active,Moderate,No
Female,35,64,163,24.1,Very Active,Healthy,No
Male,39,81,176,26.1,Lightly Active,Moderate,No
Female,33,72,167,25.8,Moderately Active,Moderate,No
Male,24,68,174,22.4,Very Active,Healthy,No
Female,29,58,155,24.1,Moderately Active,Healthy,No
Male,40,88,178,27.8,Lightly Active,Unhealthy,Yes
Female,55,92,158,36.9,Sedentary,Unhealthy,Yes
Male,58,85,171,29.1,Lightly Active,Moderate,No
Female,36,70,165,25.7,Moderately Active,Healthy,No
Male,26,74,176,23.9,Moderately Active,Moderate,No
Female,41,85,164,31.6,Lightly Active,Unhealthy,Yes
Male,48,95,172,32.1,Sedentary,Unhealthy,Yes
Female,39,73,162,27.8,Moderately Active,Moderate,No
Male,30,65,175,21.2,Very Active,Healthy,No
Female,32,61,159,24.2,Very Active,Healthy,No
Male,50,87,173,29.0,Lightly Active,Moderate,No
Female,44,78,163,29.4,Lightly Active,Moderate,No
Male,27,70,172,23.7,Moderately Active,Healthy,No
Female,38,82,164,30.5,Lightly Active,Unhealthy,Yes
Male,54,98,174,32.4,Sedentary,Unhealthy,Yes
Female,45,90,160,35.2,Lightly Active,Unhealthy,Yes
Male,46,84,170,29.0,Moderately Active,Moderate,No
Female,52,89,161,34.4,Sedentary,Unhealthy,Yes
Male,37,72,176,23.2,Very Active,Healthy,No
Female,49,77,158,30.8,Lightly Active,Moderate,No
Male,31,79,177,25.2,Moderately Active,Moderate,No
Female,57,86,159,34.0,Sedentary,Unhealthy,Yes
Male,23,67,173,22.4,Very Active,Healthy,No
Female,47,76,166,27.6,Lightly Active,Moderate,No
Male,34,83,178,26.2,Moderately Active,Moderate,No
Female,51,91,162,34.7,Sedentary,Unhealthy,Yes
Male,43,86,175,28.1,Lightly Active,Moderate,No
Female,29,63,160,24.6,Moderately Active,Healthy,No
Male,59,93,171,31.8,Sedentary,Unhealthy,Yes
Female,25,57,158,22.8,Very Active,Healthy,No
Male,42,89,176,28.7,Lightly Active,Unhealthy,Yes
Female,53,87,163,32.7,Lightly Active,Unhealthy,Yes
Male,36,75,174,24.8,Moderately Active,Healthy,No
Female,40,72,165,26.4,Moderately Active,Moderate,No
Male,55,96,172,32.4,Sedentary,Unhealthy,Yes
Female,33,66,161,25.5,Very Active,Healthy,No
Male,48,91,177,29.0,Lightly Active,Moderate,No
Female,27,60,157,24.3,Moderately Active,Healthy,No
Male,39,84,175,27.4,Lightly Active,Moderate,No
Female,46,79,164,29.4,Lightly Active,Moderate,No
Male,32,78,179,24.3,Moderately Active,Moderate,No
Female,54,93,160,36.3,Sedentary,Unhealthy,Yes
Male,28,73,176,23.6,Very Active,Healthy,No
Female,44,75,162,28.6,Lightly Active,Moderate,No
Male,50,92,173,30.7,Lightly Active,Unhealthy,Yes
Female,35,68,166,24.7,Moderately Active,Healthy,No
Male,58,89,170,30.8,Sedentary,Unhealthy,Yes
Female,30,62,159,24.5,Very Active,Healthy,No
Male,41,87,178,27.5,Lightly Active,Moderate,No
Female,52,84,161,32.4,Lightly Active,Unhealthy,Yes
Male,26,71,175,23.2,Moderately Active,Healthy,No
Female,38,74,163,27.9,Moderately Active,Moderate,No
Male,47,93,174,30.7,Lightly Active,Unhealthy,Yes
Female,31,64,160,25.0,Very Active,Healthy,No
Male,56,97,171,33.2,Sedentary,Unhealthy,Yes
Female,24,58,156,23.8,Very Active,Healthy,No
Male,45,88,176,28.4,Lightly Active,Moderate,No
Female,37,71,165,26.1,Moderately Active,Moderate,No
Male,53,95,172,32.1,Sedentary,Unhealthy,Yes
Female,29,61,158,24.4,Moderately Active,Healthy,No
Male,40,86,177,27.4,Lightly Active,Moderate,No
Female,49,81,162,30.9,Lightly Active,Unhealthy,Yes
Male,33,76,174,25.1,Moderately Active,Moderate,No
Female,55,88,159,34.8,Sedentary,Unhealthy,Yes
